customer_id,name,total_value,quartile,quartile_label
394,Tracy Kelly,115071.81,1,Platinum
746,Raymond Christensen,109225.74,1,Platinum
441,Shannon Bailey,100598.09,1,Platinum
454,Mary Smith,99381.84,1,Platinum
74,James Johnson,94463.83,1,Platinum
160,Hannah Bryant,87435.6,1,Platinum
153,Gabrielle Mitchell,87315.02,1,Platinum
168,Kristin Walter,87242.87,1,Platinum
32,Donna Gomez,86858.69,1,Platinum
691,Elaine Charles,85316.57,1,Platinum
588,Henry Miller,83715.9,1,Platinum
361,Thomas Atkinson,83536.88,1,Platinum
31,Barbara Sanchez,81667.47,1,Platinum
432,Devin Reyes,79611.33,1,Platinum
198,Morgan Pugh,78995.34,1,Platinum
443,Gabriel Taylor,78668.26,1,Platinum
397,Daniel Smith,77150.6,1,Platinum
245,Sarah Perry,76625.44,1,Platinum
712,Rachel Ryan,76622.74,1,Platinum
520,Unknown Customer,75568.54,1,Platinum
710,William Barnes,75244.46,1,Platinum
681,Rachel Stewart,74862.41,1,Platinum
707,Douglas Aguilar,74844.02,1,Platinum
297,Carla Cameron,74305.0,1,Platinum
392,Brian Kim,74120.59,1,Platinum
213,Jenna Butler,73975.72,1,Platinum
271,Debra Wright,73714.01,1,Platinum
195,Ronald Ortega,73235.56,1,Platinum
236,Christine Harper,73001.99,1,Platinum
156,Amanda Knight,72886.01,1,Platinum
50,Julia Moore,72645.19,1,Platinum
466,John Newman,71778.36,1,Platinum
519,Stacey Elliott,71601.71,1,Platinum
567,Stephen Hull,71320.35,1,Platinum
318,Loretta Blevins,71093.78,1,Platinum
664,Cody Bonilla,70809.33,1,Platinum
792,Elizabeth Mcpherson,70626.86,1,Platinum
193,Diana Rich,70571.56,1,Platinum
383,Annette Branch,70166.86,1,Platinum
356,Jim Hendricks,69839.46,1,Platinum
381,Daniel Davis,69784.22,1,Platinum
249,Shelby Lynch,69747.33,1,Platinum
744,Elizabeth Austin,69692.64,1,Platinum
92,Jorge Murphy,69391.02,1,Platinum
776,Alan Weeks,69240.71,1,Platinum
630,Cynthia Marsh,68695.43,1,Platinum
673,Derek Myers,68679.39,1,Platinum
761,Kim Griffin,68609.6,1,Platinum
468,Kristen Leon,68320.87,1,Platinum
66,Jonathan Fletcher,67957.32,1,Platinum
86,Unknown Customer,67625.27,1,Platinum
591,Roy Woods,67595.11,1,Platinum
328,Ashley Rodriguez,67576.45,1,Platinum
210,David Jimenez,67493.93,1,Platinum
529,Lisa Carr,67288.67,1,Platinum
145,Molly Pollard,67050.11,1,Platinum
513,Michael Stephens,66725.29,1,Platinum
759,Unknown Customer,66587.49,1,Platinum
200,Daniel Bruce,65985.25,1,Platinum
537,Eugene Jones,65921.46,1,Platinum
713,Nancy Wolfe,65490.08,1,Platinum
733,Catherine Lee,65353.9,1,Platinum
376,Charles Meyers,65180.97,1,Platinum
590,Kristen Chan,65078.05,1,Platinum
264,Donna Parker,64422.77,1,Platinum
353,Christina Mayer,64266.57,1,Platinum
128,Bill Reynolds,63969.57,1,Platinum
289,John Aguirre,63205.2,1,Platinum
135,Robert Lopez,62728.3,1,Platinum
377,Jesse Mann,61972.11,1,Platinum
688,Kayla Lewis,61536.49,1,Platinum
626,Angela Smith,61202.71,1,Platinum
582,Howard Davis✓,61190.15,1,Platinum
232,Sharon Collins,61061.81,1,Platinum
2,Erica Mcclain,61033.41,1,Platinum
365,Kathleen Ramsey,61028.12,1,Platinum
311,Robert Gutierrez,60842.64,1,Platinum
498,Kayla Rodriguez,60709.37,1,Platinum
119,Angela Butler,60217.85,1,Platinum
541,Philip Dunn,60104.44,1,Platinum
474,Amanda Hernandez,59962.27,1,Platinum
665,Crystal Lewis,59424.43,1,Platinum
3,Jeffery Wagner,59137.4,1,Platinum
740,Kaitlyn Peterson,59073.32,1,Platinum
716,Jonathan Smith,59071.07,1,Platinum
462,Nancy May,58823.08,1,Platinum
256,Matthew Day,58747.55,1,Platinum
120,Rebekah Evans,58668.19,1,Platinum
36,Andrea Williams,58626.31,1,Platinum
12,Gabrielle Cameron,58545.04,1,Platinum
577,Mark Hill,58395.17,1,Platinum
330,Daniel Martin,58280.25,1,Platinum
220,Bethany Maldonado,58224.63,1,Platinum
600,Andrew Norris,58000.33,1,Platinum
345,Julie Lane,57897.67,1,Platinum
366,Mason Krueger,57843.66,1,Platinum
148,Wayne Lawrence,57680.8,1,Platinum
674,Erica Sloan,57227.66,1,Platinum
162,Tiffany Barrett,57195.83,1,Platinum
284,Meghan King,57121.13,1,Platinum
562,Corey Melton,56636.05,1,Platinum
488,Alan Gonzalez,56508.12,1,Platinum
648,John Mueller,55989.87,1,Platinum
526,Debra Thompson,55853.11,1,Platinum
435,James Cruz,55701.53,1,Platinum
360,Heather Russell,55672.54,1,Platinum
512,Dawn Robles,55573.93,1,Platinum
350,Allison Luna,55504.99,1,Platinum
424,Lauren Soto✓,55139.32,1,Platinum
178,Antonio Wood,55085.48,1,Platinum
199,Michael Lane,54962.14,1,Platinum
69,Elizabeth Gray,54707.6,1,Platinum
208,Erika Watkins,54666.69,1,Platinum
189,Yolanda Boone,54485.42,1,Platinum
248,Christina Bullock,54464.83,1,Platinum
241,Patrick Rose,54359.08,1,Platinum
570,Justin Hughes中,54277.5,1,Platinum
77,Nicole Osborne,53979.17,1,Platinum
405,Meagan James,53950.81,1,Platinum
621,Patricia Salazar,53874.06,1,Platinum
631,Travis Underwood,53760.53,1,Platinum
453,Ashlee Washington,53690.75,1,Platinum
251,Candice Smith,53629.02,1,Platinum
769,Diana Mcclure,53194.85,1,Platinum
102,Daniel Yu,53047.2,1,Platinum
412,Kristina Jones,53001.94,1,Platinum
415,Elizabeth Jackson,52877.49,1,Platinum
499,David Howard,52645.8,1,Platinum
413,William Knapp,52064.53,1,Platinum
96,Thomas Wilson,51999.02,1,Platinum
576,Justin Cohen,51960.91,1,Platinum
483,John Ruiz,51557.87,1,Platinum
191,Cynthia Kelley,51450.04,1,Platinum
261,Pamela Paul,51320.31,1,Platinum
758,Michael Castro,51202.82,1,Platinum
701,Robert Rivera,51134.06,1,Platinum
260,Michael Norman,51076.21,1,Platinum
465,Karen Lawrence,50987.04,1,Platinum
296,William Levy,50685.84,1,Platinum
485,Robert Cortez,50677.98,1,Platinum
494,Unknown Customer,50628.24,1,Platinum
8,Barbara Bush,50305.93,1,Platinum
579,Donald Johnson,49709.97,1,Platinum
303,Benjamin Reeves,49638.77,1,Platinum
292,Daniel Allen,49554.23,1,Platinum
772,Sarah Dunn,49382.41,1,Platinum
88,Amy Morrison,49322.83,1,Platinum
549,Michelle Wells,49106.02,1,Platinum
765,Kimberly Mcmillan,48992.4,1,Platinum
57,Michael Castro,48970.9,1,Platinum
622,Tyler Martin,48799.34,1,Platinum
597,Lisa Smith,48787.78,1,Platinum
749,Alexander Clark,48429.54,1,Platinum
85,Steven Brown,48276.25,1,Platinum
259,Veronica Daniels,48211.9,1,Platinum
645,Dustin Santiago,47847.87,1,Platinum
247,Justin Gallegos,47819.11,1,Platinum
528,Jacqueline Berry,47770.92,1,Platinum
598,William Martinez,47761.44,1,Platinum
705,Dana Johns,47718.36,1,Platinum
469,Victor Wheeler,47666.19,1,Platinum
518,Joel Stewart,47647.6,1,Platinum
252,Aaron Gomez,47535.48,1,Platinum
501,Jason Gates,47350.94,1,Platinum
126,Charles Martin,47343.01,1,Platinum
27,Emily Brooks,47285.68,1,Platinum
230,Melissa Brandt,47269.77,1,Platinum
132,Mia Rivera,47172.83,1,Platinum
506,Lisa Johnson,47013.98,1,Platinum
362,Anna Faulkner,46825.25,1,Platinum
157,Monica Harvey,46272.15,1,Platinum
613,Mary Vaughn,46255.26,1,Platinum
4,Robert Cole,46165.42,1,Platinum
548,Jeremy Brown,46015.0,1,Platinum
525,Kevin Taylor,45984.71,1,Platinum
493,Robert Woodward,45826.24,1,Platinum
1,Danielle Johnson,45665.29,1,Platinum
314,Steve Patel,45396.8,1,Platinum
101,Mitchell Hunterğ,45263.81,1,Platinum
398,Curtis Miller,45092.56,1,Platinum
686,Juan Serrano,45090.28,1,Platinum
253,Christopher Villegas,44987.49,1,Platinum
16,William Davis,44855.42,2,Gold
492,Diane Sweeney,44841.45,2,Gold
658,Christopher Walker,44706.8,2,Gold
539,Brian Rivera,44624.24,2,Gold
217,William Bullock,44436.61,2,Gold
7,Unknown Customer,44435.12,2,Gold
218,Curtis Scott,44382.01,2,Gold
458,Cody Lewis,44280.72,2,Gold
601,Johnny Miles,44147.76,2,Gold
439,Ashley Adams,44143.71,2,Gold
373,Ashley Sanchez,44123.2,2,Gold
123,Hannah Harrison,44061.93,2,Gold
679,Kelly Jones,43975.53,2,Gold
192,Kenneth Wagner,43591.46,2,Gold
374,Steven Oconnor,43512.99,2,Gold
401,Rachel Stein,43316.58,2,Gold
332,Penny Wilcoxñ,43279.59,2,Gold
521,Jesse Robinson,43222.57,2,Gold
418,Kelsey Chapman,43216.59,2,Gold
783,Edwin Booker,43186.97,2,Gold
682,Elijah Knight,43057.44,2,Gold
603,William Williamson,43052.83,2,Gold
410,Jeanette Gonzales,43032.04,2,Gold
46,Anna Garcia,42954.2,2,Gold
779,Maria Walker,42885.87,2,Gold
158,Jesse Little,42705.86,2,Gold
500,Melissa Davis,42617.24,2,Gold
461,Lawrence Ibarra,42550.34,2,Gold
634,Mary Chapman,42523.57,2,Gold
644,Justin Boone,42464.36,2,Gold
496,Joel Green,42372.9,2,Gold
23,Daniel Cox,42341.86,2,Gold
690,Mercedes Anderson,42278.0,2,Gold
551,Gerald Joyce,42199.35,2,Gold
456,Nancy Mcdowell,42065.66,2,Gold
770,Courtney Anderson,41754.94,2,Gold
308,Diana Stanton,41697.76,2,Gold
594,Wesley Torres,41595.97,2,Gold
406,Derek Flores,41408.8,2,Gold
55,Brandi Hernandez,41389.59,2,Gold
258,Bradley Gonzalez,41343.55,2,Gold
48,Jade Carr,41319.18,2,Gold
791,David Olson,41304.61,2,Gold
624,Christian Wallace,41233.73,2,Gold
41,Breanna Shaw,41184.75,2,Gold
399,Ricky Johnson,41157.15,2,Gold
610,Melissa Zamora,40891.5,2,Gold
336,Erik Parks,40864.24,2,Gold
531,Lorraine Santiago,40624.96,2,Gold
455,Susan Harris,40547.15,2,Gold
568,William Reid,40455.32,2,Gold
186,Joseph Martinez,40218.81,2,Gold
349,Nancy Anderson,40119.12,2,Gold
734,Gregory Hunter,40106.17,2,Gold
728,Melissa Galvan,40043.14,2,Gold
798,Andrew Gray,39990.22,2,Gold
316,Janet Vaughn,39818.32,2,Gold
508,Gary Berry,39750.04,2,Gold
502,Randy Williams,39709.08,2,Gold
793,Laura Richards,39611.32,2,Gold
569,Sean Horne,39574.13,2,Gold
642,William Benson,39446.03,2,Gold
515,Unknown Customer,39408.64,2,Gold
421,Connor Bowen,39358.58,2,Gold
287,Brandon May,39248.29,2,Gold
174,Cynthia Marshall,39168.86,2,Gold
131,Lisa Costa,39096.74,2,Gold
714,Kayla Bell,38972.28,2,Gold
689,Desiree Hernandez,38834.82,2,Gold
117,Shelley Woods,38746.55,2,Gold
727,Sonya Wilkins,38646.06,2,Gold
423,Zachary Arnold,38615.52,2,Gold
709,Jerry Cruz,38593.15,2,Gold
20,Shawn Mckay,38519.7,2,Gold
651,Janet Holland,38394.68,2,Gold
625,Sergio Wilson,38269.04,2,Gold
532,John Jones,37870.58,2,Gold
436,Robert Larsen,37815.05,2,Gold
51,Cynthia Baker,37709.06,2,Gold
782,Unknown Customer,37583.72,2,Gold
547,Colin Barnett,37542.24,2,Gold
98,Larry Lane,37507.17,2,Gold
484,Austin Pratt,37371.09,2,Gold
149,Alicia Bryant,37371.04,2,Gold
636,Savannah Roberson,37368.71,2,Gold
656,Megan Turner,37338.22,2,Gold
684,Dennis Quinn😀,37248.62,2,Gold
647,Michael Chavez,37208.99,2,Gold
425,Christina Gonzalez,37108.17,2,Gold
354,Brittney Griffin,36924.28,2,Gold
667,Julie Hernandez,36881.07,2,Gold
143,Mary Carpenter,36809.41,2,Gold
104,Steven Petersen,36630.79,2,Gold
661,Manuel Moon,36625.81,2,Gold
729,Zachary Hall,36625.49,2,Gold
347,Justin White,36563.86,2,Gold
367,David Key,36506.47,2,Gold
65,Jessica Edwards,36105.54,2,Gold
81,Michelle Coleğ,36067.99,2,Gold
393,Stephanie Sanders,35958.48,2,Gold
719,Joshua Becker,35585.09,2,Gold
627,Diamond Bryant,35578.9,2,Gold
25,David Keller,35459.57,2,Gold
116,Audrey Harrison,35423.35,2,Gold
221,Unknown Customer,35373.46,2,Gold
176,Derek Chavez,35245.53,2,Gold
163,Julie Williams,35027.0,2,Gold
794,Kristen Alvarez,35024.17,2,Gold
70,Amy Smith,34849.91,2,Gold
395,Donna Miller,34822.52,2,Gold
226,Lisa Monroe,34608.29,2,Gold
571,Erica Adams,34565.16,2,Gold
595,Jessica Carlson,34475.97,2,Gold
19,Nicole Potter,34437.87,2,Gold
678,Melissa York,34387.11,2,Gold
697,Rachel Miller,34277.06,2,Gold
411,Robert Porter,34254.95,2,Gold
669,Shannon Sullivan,34234.15,2,Gold
352,Steven Moore,34207.39,2,Gold
246,Jeffrey Flores,34185.97,2,Gold
731,Richard Gonzalez,34143.31,2,Gold
310,John Armstrong,34126.19,2,Gold
533,Samuel Barnes,33977.49,2,Gold
358,Angela Vargas,33948.61,2,Gold
138,Alexander Russell,33936.65,2,Gold
242,John Davidson,33913.43,2,Gold
130,April Ramos,33894.33,2,Gold
312,Samantha Salas,33886.32,2,Gold
42,Melissa Jones,33862.83,2,Gold
222,Michael Jones,33784.06,2,Gold
112,David Herrera,33764.87,2,Gold
635,Stephanie Taylor,33630.19,2,Gold
777,Russell Carter,33531.08,2,Gold
313,Ann Bolton,33447.79,2,Gold
183,Jesse Schroeder,33221.12,2,Gold
650,Julia Harris,33217.74,2,Gold
379,Adam Arnold,33211.69,2,Gold
732,Jessica Hansen,33204.04,2,Gold
708,Gary Jennings,33124.46,2,Gold
47,Michael Jones,33028.76,2,Gold
283,Fernando Donovan,32995.51,2,Gold
482,Emily Wilson,32985.92,2,Gold
657,Jeffrey White,32939.92,2,Gold
542,Christopher Colon,32937.84,2,Gold
39,Kristen Mitchell,32876.82,2,Gold
315,Todd Bernard,32791.92,2,Gold
419,Dan Perry,32728.23,2,Gold
530,Julie Young,32637.69,2,Gold
702,Jason Martin,32607.7,2,Gold
